date,open,high,low,close,dividend
2022-09-14,104.57,105.28,103.66,105.0,0.0
2022-09-15,104.03,105.27,102.35,102.91,0.0
2022-09-16,102.07,103.13,100.94,102.8,0.0
2022-09-19,101.75,103.33,101.55,103.07,0.0
2022-09-20,102.08,102.37,100.52,101.14,0.0
2022-09-21,101.67,102.88,99.27,99.28,0.0
2022-09-22,98.82,101.24,98.79,100.14,0.0
2022-09-23,99.63,99.66,97.47,98.74,0.0
2022-09-26,98.1,99.88,97.8,98.17,0.0
2022-09-27,99.43,100.0,96.87,97.5,0.0
2022-09-28,97.65,100.7,97.11,100.05,0.0
2022-09-29,98.64,98.64,95.96,97.42,0.0
2022-09-30,97.05,98.9,95.56,95.65,0.0
2022-10-03,96.76,99.29,96.52,98.64,0.0
2022-10-04,100.44,101.84,100.38,101.64,0.0
2022-10-05,99.83,101.93,98.8,101.43,0.0
2022-10-06,100.68,102.93,100.59,101.42,0.0
2022-10-07,99.85,100.53,98.3,98.68,0.0
2022-10-10,99.0,99.1,97.01,97.86,0.0
2022-10-11,97.43,99.25,96.31,97.18,0.0
2022-10-12,97.3,98.75,96.74,97.56,0.0
2022-10-13,95.15,99.78,94.38,99.06,0.0
2022-10-14,99.99,100.69,96.37,96.56,0.0
2022-10-17,98.86,100.93,98.83,99.97,0.0
2022-10-18,103.13,103.47,99.97,100.77,0.0
2022-10-19,100.01,101.02,98.92,99.63,0.0
2022-10-20,100.0,102.32,99.39,99.97,0.0
2022-10-21,97.85,101.31,97.72,101.13,0.0
2022-10-24,101.8,102.75,99.98,102.52,0.0
2022-10-25,102.9,104.82,102.72,104.48,0.0
2022-10-26,96.43,98.31,94.69,94.93,0.0
2022-10-27,94.52,95.43,91.8,92.22,0.0
2022-10-28,92.27,96.55,92.13,96.29,0.0
2022-10-31,95.42,96.03,93.98,94.51,0.0
2022-11-01,95.45,96.03,90.37,90.47,0.0
2022-11-02,90.94,91.18,86.88,86.97,0.0
2022-11-03,86.32,86.52,83.34,83.43,0.0
2022-11-04,85.4,86.64,83.71,86.58,0.0
2022-11-07,87.28,88.9,86.85,88.49,0.0
2022-11-08,88.9,90.32,87.59,88.9,0.0
2022-11-09,88.45,89.44,87.28,87.32,0.0
2022-11-10,92.25,94.39,91.61,93.94,0.0
2022-11-11,94.69,96.93,93.92,96.41,0.0
2022-11-14,95.09,96.79,94.51,95.7,0.0
2022-11-15,98.26,100.14,96.71,98.44,0.0
2022-11-16,97.9,99.64,97.64,98.85,0.0
2022-11-17,96.97,99.28,96.79,98.36,0.0
2022-11-18,98.77,98.9,96.37,97.43,0.0
2022-11-21,97.29,98.4,95.36,95.6,0.0
2022-11-22,95.95,97.22,94.05,97.05,0.0
2022-11-23,97.09,98.76,97.09,98.46,0.0
2022-11-25,98.24,98.64,97.4,97.46,0.0
2022-11-28,97.04,97.58,95.61,96.05,0.0
2022-11-29,95.73,96.12,94.11,95.19,0.0
2022-11-30,94.82,101.04,94.42,100.99,0.0
2022-12-01,101.02,102.25,100.25,100.99,0.0
2022-12-02,99.05,100.77,98.9,100.44,0.0
2022-12-05,99.4,101.38,99.0,99.48,0.0
2022-12-06,99.3,99.78,96.42,96.98,0.0
2022-12-07,96.41,96.88,94.72,94.94,0.0
2022-12-08,95.38,95.58,93.45,93.71,0.0
2022-12-09,93.77,94.26,92.75,92.83,0.0
2022-12-12,92.71,93.56,91.61,93.31,0.0
2022-12-13,97.76,99.53,95.03,95.63,0.0
2022-12-14,95.2,96.87,93.6,95.07,0.0
2022-12-15,93.13,93.64,90.01,90.86,0.0
2022-12-16,90.76,91.33,89.52,90.26,0.0
2022-12-19,90.26,90.56,88.21,88.44,0.0
2022-12-20,88.11,89.18,87.44,89.02,0.0
2022-12-21,89.08,90.22,88.32,89.58,0.0
2022-12-22,88.16,88.54,86.32,87.76,0.0
2022-12-23,87.11,89.55,87.07,89.23,0.0
2022-12-27,88.8,88.94,87.01,87.39,0.0
2022-12-28,86.98,88.04,85.94,86.02,0.0
2022-12-29,86.62,88.85,86.61,88.45,0.0
2022-12-30,86.98,88.3,86.57,88.23,0.0
2023-01-03,89.59,91.05,88.52,89.12,0.0
2023-01-04,90.35,90.65,87.27,88.08,0.0
2023-01-05,87.47,87.57,85.9,86.2,0.0
2023-01-06,86.79,87.69,84.86,87.34,0.0
2023-01-09,88.36,90.05,87.86,88.02,0.0
2023-01-10,85.98,88.67,85.83,88.42,0.0
2023-01-11,89.18,91.6,89.01,91.52,0.0
2023-01-12,91.48,91.87,89.75,91.13,0.0
2023-01-13,90.85,92.19,90.13,92.12,0.0
2023-01-17,92.06,92.25,90.05,91.29,0.0
2023-01-18,92.14,92.8,90.64,91.12,0.0
2023-01-19,90.72,93.61,90.63,93.05,0.0
2023-01-20,95.1,98.3,95.02,98.02,0.0
2023-01-23,97.95,100.04,97.5,99.79,0.0
2023-01-24,98.1,99.61,97.2,97.7,0.0
2023-01-25,95.57,96.16,93.76,95.22,0.0
2023-01-26,96.5,97.57,95.38,97.52,0.0
2023-01-27,97.31,100.32,97.31,99.37,0.0
2023-01-30,97.48,98.29,96.4,96.94,0.0
2023-01-31,96.87,98.88,96.82,98.84,0.0
2023-02-01,98.71,101.19,97.58,100.43,0.0
2023-02-02,105.8,107.85,105.61,107.74,0.0
2023-02-03,102.93,107.81,102.58,104.78,0.0
2023-02-06,102.4,104.36,101.88,102.9,0.0
2023-02-07,103.22,108.18,103.12,107.64,0.0
2023-02-08,102.05,103.14,98.04,99.37,0.0
2023-02-09,100.0,100.03,93.63,95.01,0.0
2023-02-10,95.45,96.75,94.25,94.57,0.0
2023-02-13,94.74,95.2,93.84,94.61,0.0
2023-02-14,94.43,94.85,92.26,94.68,0.0
2023-02-15,94.49,97.12,94.15,96.94,0.0
2023-02-16,95.37,97.68,94.74,95.51,0.0
2023-02-17,94.85,95.56,93.21,94.35,0.0
2023-02-21,93.0,93.1,91.72,91.79,0.0
2023-02-22,91.7,92.11,90.61,91.65,0.0
2023-02-23,91.92,91.94,89.76,90.89,0.0
2023-02-24,89.44,89.89,88.58,89.13,0.0
2023-02-27,89.87,90.16,89.34,89.87,0.0
2023-02-28,89.33,91.23,89.32,90.06,0.0
2023-03-01,89.98,91.03,89.67,90.36,0.0
2023-03-02,89.66,92.28,89.59,92.0,0.0
2023-03-03,92.48,93.73,92.45,93.65,0.0
2023-03-06,94.02,95.97,94.0,95.13,0.0
2023-03-07,94.98,95.67,93.53,93.86,0.0
2023-03-08,94.12,95.96,94.0,94.25,0.0
2023-03-09,94.05,95.53,91.9,92.32,0.0
2023-03-10,92.17,92.79,90.4,90.63,0.0
2023-03-13,90.09,92.57,89.42,91.11,0.0
2023-03-14,92.56,94.36,92.44,93.97,0.0
2023-03-15,93.22,96.93,92.64,96.11,0.0
2023-03-16,96.2,101.19,95.5,100.32,0.0
2023-03-17,100.26,102.84,100.1,101.62,0.0
2023-03-20,100.12,101.75,99.87,101.22,0.0
2023-03-21,101.25,105.1,101.22,104.92,0.0
2023-03-22,104.27,106.59,103.33,103.37,0.0
2023-03-23,105.06,106.3,104.46,105.6,0.0
2023-03-24,104.99,105.49,103.84,105.44,0.0
2023-03-27,104.62,104.76,101.93,102.46,0.0
2023-03-28,102.44,102.45,99.74,101.03,0.0
2023-03-29,102.28,102.49,100.65,101.39,0.0
2023-03-30,100.91,101.16,99.78,100.89,0.0
2023-03-31,101.3,103.89,101.04,103.73,0.0
2023-04-03,102.39,104.53,101.93,104.36,0.0
2023-04-04,104.33,105.58,104.04,104.72,0.0
2023-04-05,105.78,106.1,103.66,104.47,0.0
2023-04-06,105.26,109.17,104.33,108.42,0.0
2023-04-10,106.98,107.59,105.12,106.44,0.0
2023-04-11,106.55,106.73,104.68,105.35,0.0
2023-04-12,106.58,106.75,104.34,104.64,0.0
2023-04-13,105.84,107.49,105.84,107.43,0.0
2023-04-14,106.89,108.94,106.84,108.87,0.0
2023-04-17,104.66,106.16,104.52,105.97,0.0
2023-04-18,106.49,106.54,104.07,104.5,0.0
2023-04-19,103.58,104.98,103.07,104.18,0.0
2023-04-20,103.91,106.25,103.87,105.29,0.0
2023-04-21,105.47,106.0,104.78,105.41,0.0
2023-04-24,105.49,106.63,104.7,105.97,0.0
2023-04-25,105.83,106.69,103.84,103.85,0.0
2023-04-26,104.92,106.35,102.63,103.71,0.0
2023-04-27,104.45,108.37,103.54,107.59,0.0
2023-04-28,107.04,107.35,105.09,107.34,0.0
2023-05-01,106.84,107.99,106.82,107.2,0.0
2023-05-02,107.14,107.2,103.71,105.32,0.0
2023-05-03,105.53,107.49,104.96,105.41,0.0
2023-05-04,105.49,105.6,103.97,104.69,0.0
2023-05-05,104.82,105.88,104.11,105.57,0.0
2023-05-08,105.18,107.96,105.16,107.77,0.0
2023-05-09,108.39,110.15,107.19,107.35,0.0
2023-05-10,107.97,112.94,107.93,111.75,0.0
2023-05-11,115.4,117.92,114.41,116.57,0.0
2023-05-12,116.68,118.03,116.11,117.51,0.0
2023-05-15,116.11,118.48,116.01,116.51,0.0
2023-05-16,116.49,120.75,116.43,119.51,0.0
2023-05-17,119.61,121.67,118.89,120.84,0.0
2023-05-18,120.95,123.31,120.83,122.83,0.0
2023-05-19,123.55,125.97,122.15,122.76,0.0
2023-05-22,122.94,126.43,122.74,125.05,0.0
2023-05-23,124.16,124.63,122.21,122.56,0.0
2023-05-24,121.12,121.91,119.86,120.9,0.0
2023-05-25,124.52,125.32,121.96,123.48,0.0
2023-05-26,123.17,125.26,122.45,124.61,0.0
2023-05-30,125.64,125.66,122.0,123.67,0.0
2023-05-31,122.75,124.06,122.5,122.87,0.0
2023-06-01,122.82,124.42,122.62,123.72,0.0
2023-06-02,123.99,126.15,123.76,124.67,0.0
2023-06-05,124.01,127.43,123.84,126.01,0.0
2023-06-06,126.01,128.29,125.36,127.31,0.0
2023-06-07,126.97,129.04,122.12,122.5,0.0
2023-06-08,122.23,123.23,121.24,122.14,0.0
2023-06-09,122.25,123.76,121.91,122.23,0.0
2023-06-12,122.79,124.05,121.66,123.64,0.0
2023-06-13,124.98,125.16,123.18,123.83,0.0
2023-06-14,123.1,124.05,121.45,123.67,0.0
2023-06-15,123.14,125.46,122.4,125.09,0.0
2023-06-16,125.93,126.11,123.28,123.53,0.0
2023-06-20,122.93,124.57,122.14,123.1,0.0
2023-06-21,122.4,122.66,120.1,120.55,0.0
2023-06-22,120.0,123.24,118.83,123.15,0.0
2023-06-23,121.38,122.79,121.06,122.34,0.0
2023-06-26,120.76,122.0,118.27,118.34,0.0
2023-06-27,117.08,119.08,116.1,118.33,0.0
2023-06-28,117.09,120.39,116.85,120.18,0.0
2023-06-29,119.24,120.06,118.3,119.1,0.0
2023-06-30,120.17,121.08,119.69,119.7,0.0
2023-07-03,119.24,120.19,118.82,119.9,0.0
2023-07-05,119.24,122.61,119.23,121.75,0.0
2023-07-06,119.8,120.3,118.4,120.11,0.0
2023-07-07,120.1,121.05,119.4,119.48,0.0
2023-07-10,118.3,118.31,116.14,116.45,0.0
2023-07-11,116.29,117.71,115.35,117.14,0.0
2023-07-12,118.8,120.33,118.41,118.93,0.0
2023-07-13,120.93,124.83,120.45,124.54,0.0
2023-07-14,124.8,126.78,123.49,125.42,0.0
2023-07-17,125.94,127.1,124.2,124.65,0.0
2023-07-18,124.6,124.68,122.96,123.76,0.0
2023-07-19,124.6,125.18,121.8,122.03,0.0
2023-07-20,121.42,124.09,118.22,119.2,0.0
2023-07-21,120.62,120.99,118.73,120.02,0.0
2023-07-24,121.66,123.0,120.98,121.53,0.0
2023-07-25,121.36,123.15,121.02,122.21,0.0
2023-07-26,130.07,130.98,128.32,129.27,0.0
2023-07-27,131.67,133.24,128.79,129.4,0.0
2023-07-28,130.78,133.74,130.57,132.58,0.0
2023-07-31,132.73,133.53,131.78,132.72,0.0
2023-08-01,130.78,132.63,130.68,131.55,0.0
2023-08-02,129.45,130.09,127.56,128.38,0.0
2023-08-03,127.97,129.39,127.42,128.45,0.0
2023-08-04,129.28,131.51,127.91,128.11,0.0
2023-08-07,129.16,131.61,129.02,131.53,0.0
2023-08-08,130.62,131.51,129.54,131.4,0.0
2023-08-09,131.66,132.04,129.0,129.66,0.0
2023-08-10,131.32,132.05,129.45,129.69,0.0
2023-08-11,128.66,129.93,128.17,129.56,0.0
2023-08-14,129.39,131.37,128.96,131.33,0.0
2023-08-15,131.1,131.42,129.28,129.78,0.0
2023-08-16,128.7,130.28,127.87,128.7,0.0
2023-08-17,129.8,131.99,129.29,129.92,0.0
2023-08-18,128.51,129.25,126.38,127.46,0.0
2023-08-21,127.18,128.73,126.56,128.37,0.0
2023-08-22,128.51,130.28,128.32,129.08,0.0
2023-08-23,130.18,133.41,129.87,132.37,0.0
2023-08-24,133.95,134.25,129.57,129.78,0.0
2023-08-25,129.54,130.76,127.25,129.88,0.0
2023-08-28,131.31,132.54,130.14,131.01,0.0
2023-08-29,132.24,136.57,132.24,134.57,0.0
2023-08-30,134.78,136.28,134.07,135.88,0.0
2023-08-31,136.01,138.0,135.79,136.17,0.0
2023-09-01,137.46,137.46,134.85,135.66,0.0
2023-09-05,135.44,136.42,134.58,135.77,0.0
2023-09-06,136.02,136.53,133.67,134.46,0.0
2023-09-07,133.59,135.58,132.95,135.26,0.0
2023-09-08,134.91,136.66,134.85,136.38,0.0
2023-09-11,136.54,137.48,135.79,136.92,0.0
2023-09-12,136.26,136.87,135.19,135.34,0.0
2023-09-13,135.09,136.9,134.15,136.71,0.0
2023-09-14,137.6,138.7,136.24,138.1,0.0
2023-09-15,137.98,138.52,136.48,137.4,0.0
2023-09-18,136.61,139.16,136.61,138.21,0.0
2023-09-19,137.42,138.41,136.62,138.04,0.0
2023-09-20,138.08,138.08,133.62,133.74,0.0
2023-09-21,131.44,132.23,130.07,130.44,0.0
2023-09-22,130.76,132.03,129.6,130.25,0.0
2023-09-25,129.83,131.17,128.96,131.11,0.0
2023-09-26,129.77,130.36,127.22,128.57,0.0
2023-09-27,128.57,130.9,128.57,130.54,0.0
2023-09-28,129.84,133.3,129.79,132.31,0.0
2023-09-29,133.28,134.05,130.36,130.86,0.0
2023-10-02,131.21,134.42,131.17,134.17,0.0
2023-10-03,133.94,134.26,131.84,132.43,0.0
2023-10-04,132.79,135.57,132.53,135.24,0.0
2023-10-05,135.07,135.49,133.45,135.07,0.0
2023-10-06,134.01,138.16,134.01,137.58,0.0
2023-10-09,136.94,138.94,135.61,138.42,0.0
2023-10-10,138.5,139.72,137.33,138.06,0.0
2023-10-11,138.58,141.11,138.58,140.55,0.0
2023-10-12,141.05,141.22,138.26,138.97,0.0
2023-10-13,139.38,140.0,136.62,137.36,0.0
2023-10-16,138.17,139.63,137.99,139.1,0.0
2023-10-17,138.63,139.9,137.18,139.72,0.0
2023-10-18,139.45,140.72,137.38,137.96,0.0
2023-10-19,138.5,139.66,137.38,137.75,0.0
2023-10-20,137.33,137.87,135.08,135.6,0.0
2023-10-23,135.04,137.66,133.95,136.5,0.0
2023-10-24,137.83,139.36,137.42,138.81,0.0
2023-10-25,128.16,128.31,125.07,125.61,0.0
2023-10-26,123.27,124.33,121.27,122.28,0.0
2023-10-27,122.88,123.31,120.21,122.17,0.0
2023-10-30,123.21,125.4,122.75,124.46,0.0
2023-10-31,125.06,125.37,122.69,124.08,0.0
2023-11-01,124.07,126.49,123.72,126.45,0.0
2023-11-02,128.42,128.98,126.93,127.49,0.0
2023-11-03,128.02,129.53,127.86,129.1,0.0
2023-11-06,129.05,130.34,128.67,130.25,0.0
2023-11-07,130.71,131.91,129.88,130.97,0.0
2023-11-08,130.97,132.21,130.78,131.84,0.0
2023-11-09,131.96,132.55,130.07,130.24,0.0
2023-11-10,130.1,132.8,129.41,132.59,0.0
2023-11-13,131.78,132.59,131.25,132.09,0.0
2023-11-14,134.19,135.7,133.32,133.62,0.0
2023-11-15,134.87,135.03,133.57,134.62,0.0
2023-11-16,135.19,137.22,134.32,136.93,0.0
2023-11-17,136.0,136.06,133.65,135.31,0.0
2023-11-20,133.69,136.66,133.62,136.25,0.0
2023-11-21,136.29,137.18,135.96,136.97,0.0
2023-11-22,137.47,139.42,137.47,138.49,0.0
2023-11-24,138.03,138.13,135.99,136.69,0.0
2023-11-27,136.03,138.42,136.0,136.41,0.0
2023-11-28,136.08,137.25,135.42,137.2,0.0
2023-11-29,137.57,138.29,134.84,134.99,0.0
2023-11-30,135.05,135.55,131.28,132.53,0.0
2023-12-01,131.86,132.11,130.67,131.86,0.0
2023-12-04,129.88,130.03,127.9,129.27,0.0
2023-12-05,128.95,132.14,128.25,130.99,0.0
2023-12-06,131.44,131.84,129.88,130.02,0.0
2023-12-07,135.04,138.56,134.7,136.93,0.0
2023-12-08,134.2,136.4,134.03,134.99,0.0
2023-12-11,132.38,133.34,131.36,133.29,0.0
2023-12-12,131.81,133.0,131.26,132.52,0.0
2023-12-13,133.38,133.5,131.57,132.57,0.0
2023-12-14,133.38,133.72,129.69,131.94,0.0
2023-12-15,131.62,133.51,131.18,132.6,0.0
2023-12-18,132.63,137.15,132.43,135.8,0.0
2023-12-19,136.84,137.47,136.08,136.65,0.0
2023-12-20,138.97,141.7,138.07,138.34,0.0
2023-12-21,139.49,140.69,139.18,140.42,0.0
2023-12-22,140.77,141.99,140.71,141.49,0.0
2023-12-26,141.59,142.68,141.19,141.52,0.0
2023-12-27,141.59,142.08,139.89,140.37,0.0
2023-12-28,140.78,141.14,139.75,140.23,0.0
2023-12-29,139.63,140.36,138.78,139.69,0.0
2024-01-02,138.55,139.45,136.48,138.17,0.0
2024-01-03,137.25,139.63,137.08,138.92,0.0
2024-01-04,138.42,139.16,136.35,136.39,0.0
2024-01-05,136.75,137.16,135.15,135.73,0.0
2024-01-08,136.29,139.01,136.26,138.84,0.0
2024-01-09,138.5,141.49,138.15,140.95,0.0
2024-01-10,141.0,143.0,140.91,142.28,0.0
2024-01-11,143.49,145.22,140.64,142.08,0.0
2024-01-12,142.67,143.2,141.82,142.65,0.0
2024-01-16,142.0,144.35,141.45,142.49,0.0
2024-01-17,141.35,141.84,138.9,141.47,0.0
2024-01-18,142.05,144.21,141.99,143.48,0.0
2024-01-19,144.74,146.45,144.38,146.38,0.0
2024-01-22,147.1,148.39,145.84,145.99,0.0
2024-01-23,145.89,147.18,145.5,147.04,0.0
2024-01-24,148.54,149.85,148.1,148.7,0.0
2024-01-25,150.07,153.05,149.54,151.87,0.0
2024-01-26,151.1,152.54,151.01,152.19,0.0
2024-01-29,152.06,153.78,151.43,153.51,0.0
2024-01-30,152.8,153.62,151.19,151.46,0.0
2024-01-31,143.62,144.0,139.87,140.1,0.0
2024-02-01,142.12,143.06,140.79,141.16,0.0
2024-02-02,139.26,142.62,136.5,142.38,0.0
2024-02-05,142.82,145.47,142.78,143.68,0.0
2024-02-06,144.65,145.36,143.19,144.1,0.0
2024-02-07,144.76,145.62,143.93,145.54,0.0
2024-02-08,145.83,146.33,145.1,145.91,0.0
2024-02-09,146.68,149.44,146.18,149.0,0.0
2024-02-12,148.42,149.34,147.37,147.53,0.0
2024-02-13,144.92,146.67,143.69,145.14,0.0
2024-02-14,146.08,146.52,144.09,145.94,0.0
2024-02-15,143.14,143.52,140.46,142.77,0.0
2024-02-16,142.99,143.19,140.14,140.52,0.0
2024-02-20,139.66,142.08,139.49,141.12,0.0
2024-02-21,141.45,142.69,140.68,142.55,0.0
2024-02-22,144.93,145.0,142.8,144.09,0.0
2024-02-23,143.67,144.68,143.43,143.96,0.0
2024-02-26,142.14,142.44,137.39,137.57,0.0
2024-02-27,138.02,139.25,137.09,138.88,0.0
2024-02-28,137.9,138.01,135.41,136.38,0.0
2024-02-29,137.28,138.86,136.4,138.46,0.0
2024-03-01,138.43,138.87,136.92,137.14,0.0
2024-03-04,135.66,135.66,131.91,133.35,0.0
2024-03-05,131.88,133.24,130.67,132.67,0.0
2024-03-06,133.12,133.58,130.85,131.4,0.0
2024-03-07,132.79,134.94,131.61,134.38,0.0
2024-03-08,134.21,138.09,134.0,135.41,0.0
2024-03-11,136.13,139.1,136.13,137.67,0.0
2024-03-12,137.03,139.38,137.03,138.5,0.0
2024-03-13,139.0,141.09,138.99,139.79,0.0
2024-03-14,141.19,143.59,140.46,143.1,0.0
2024-03-15,142.5,143.18,140.03,141.18,0.0
2024-03-18,148.61,152.15,147.17,147.68,0.0
2024-03-19,148.16,148.79,146.08,147.03,0.0
2024-03-20,148.0,148.86,146.74,148.74,0.0
2024-03-21,149.47,150.37,146.9,147.6,0.0
2024-03-22,149.12,151.58,148.98,150.77,0.0
2024-03-25,149.94,150.38,147.82,150.07,0.0
2024-03-26,150.22,152.26,149.98,150.67,0.0
2024-03-27,151.18,151.64,148.9,150.87,0.0
2024-03-28,150.85,151.43,150.17,150.93,0.0
2024-04-01,150.69,155.74,150.61,155.49,0.0
2024-04-02,153.5,154.7,152.15,154.56,0.0
2024-04-03,153.6,155.08,152.73,154.92,0.0
2024-04-04,153.5,154.77,150.45,150.53,0.0
2024-04-05,150.03,153.42,149.6,152.5,0.0
2024-04-08,152.78,155.27,152.61,154.85,0.0
2024-04-09,156.09,158.56,155.19,156.6,0.0
2024-04-10,156.21,156.61,154.68,156.14,0.0
2024-04-11,156.91,159.68,156.46,159.41,0.0
2024-04-12,157.96,160.22,157.14,157.73,0.0
2024-04-15,158.86,159.24,154.59,154.86,0.0
2024-04-16,154.19,155.65,153.43,154.4,0.0
2024-04-17,155.62,157.08,154.58,155.47,0.0
2024-04-18,155.34,156.94,154.62,156.01,0.0
2024-04-19,156.2,156.36,152.3,154.09,0.0
2024-04-22,154.31,157.64,154.06,156.28,0.0
2024-04-23,156.96,158.97,156.28,158.26,0.0
2024-04-24,157.49,159.57,157.17,159.13,0.0
2024-04-25,151.33,156.49,150.87,156.0,0.0
2024-04-26,174.37,174.71,169.65,171.95,0.0
2024-04-29,169.06,169.55,165.21,166.15,0.0
2024-04-30,165.61,168.1,162.6,162.78,0.0
2024-05-01,164.3,167.12,163.09,163.86,0.0
2024-05-02,164.79,166.73,163.89,166.62,0.0
2024-05-03,167.56,167.96,163.05,167.24,0.0
2024-05-06,167.46,168.14,166.03,168.1,0.0
2024-05-07,168.5,171.76,168.39,171.25,0.0
2024-05-08,169.0,170.15,168.74,169.38,0.0
2024-05-09,169.39,170.69,168.18,169.96,0.0
2024-05-10,168.03,169.85,166.19,168.65,0.0
2024-05-13,164.26,169.28,164.0,169.14,0.0
2024-05-14,169.77,171.25,168.8,170.34,0.0
2024-05-15,170.63,172.65,170.51,172.51,0.0
2024-05-16,173.29,175.12,172.69,174.18,0.0
2024-05-17,174.18,176.27,173.69,176.06,0.0
2024-05-20,176.19,178.77,176.08,176.92,0.0
2024-05-21,176.9,178.15,175.81,177.85,0.0
2024-05-22,176.64,177.15,175.21,176.38,0.0
2024-05-23,177.07,178.25,172.95,173.55,0.0
2024-05-24,174.98,175.77,173.65,174.99,0.0
2024-05-28,174.45,177.27,174.37,176.4,0.0
2024-05-29,175.43,176.84,174.72,175.9,0.0
2024-05-30,175.2,175.22,171.79,172.11,0.0
2024-05-31,171.86,173.06,169.44,172.5,0.0
2024-06-03,172.54,174.53,171.16,173.17,0.0
2024-06-04,173.28,173.85,171.89,173.79,0.0
2024-06-05,175.2,176.65,173.93,175.41,0.0
2024-06-06,175.9,177.15,175.75,176.73,0.0
2024-06-07,177.05,177.87,174.3,174.46,0.0
2024-06-10,174.97,177.06,172.76,175.01,0.2
2024-06-11,176.22,176.84,173.77,176.62,0.0
2024-06-12,178.25,180.41,176.11,177.79,0.0
2024-06-13,176.11,176.74,174.88,175.16,0.0
2024-06-14,174.22,177.06,174.15,176.79,0.0
2024-06-17,175.46,178.36,174.81,177.24,0.0
2024-06-18,177.14,177.39,174.1,175.09,0.0
2024-06-20,175.37,177.29,174.99,176.3,0.0
2024-06-21,177.0,180.85,176.61,179.63,0.0
2024-06-24,180.16,180.89,178.67,179.22,0.0
2024-06-25,179.62,184.29,179.42,184.03,0.0
2024-06-26,182.63,184.51,182.48,183.88,0.0
2024-06-27,184.18,186.05,184.02,185.41,0.0
2024-06-28,184.32,185.13,181.96,182.15,0.0
2024-07-01,183.03,183.88,181.3,182.99,0.0
2024-07-02,182.05,185.57,181.56,185.24,0.0
2024-07-03,184.85,186.09,184.0,185.82,0.0
2024-07-05,185.86,190.86,185.8,190.6,0.0
2024-07-08,189.9,190.17,187.78,189.03,0.0
2024-07-09,190.31,191.36,188.72,188.98,0.0
2024-07-10,189.15,191.75,189.03,191.18,0.0
2024-07-11,189.85,190.86,185.08,185.57,0.0
2024-07-12,185.08,187.11,184.49,185.07,0.0
2024-07-15,184.92,188.24,184.92,186.53,0.0
2024-07-16,187.36,188.68,183.37,183.92,0.0
2024-07-17,182.97,183.55,179.9,181.02,0.0
2024-07-18,181.93,182.5,176.47,177.69,0.0
2024-07-19,178.88,180.29,177.13,177.66,0.0
2024-07-22,180.59,182.7,180.23,181.67,0.0
2024-07-23,182.05,183.61,181.54,181.79,0.0
2024-07-24,173.6,176.19,171.82,172.63,0.0
2024-07-25,172.52,173.42,167.19,167.28,0.0
2024-07-26,167.15,168.09,164.06,167.0,0.0
2024-07-29,168.83,170.43,167.99,169.53,0.0
2024-07-30,170.24,171.23,168.44,170.29,0.0
2024-07-31,173.24,174.25,170.01,171.54,0.0
2024-08-01,170.25,174.05,168.88,170.76,0.0
2024-08-02,166.44,168.51,164.67,166.66,0.0
2024-08-05,155.5,164.43,154.93,159.25,0.0
2024-08-06,159.33,160.57,156.41,158.29,0.0
2024-08-07,161.25,162.98,158.47,158.94,0.0
2024-08-08,160.51,163.69,160.21,162.03,0.0
2024-08-09,160.01,163.79,159.06,163.67,0.0
2024-08-12,164.35,164.9,161.84,162.29,0.0
2024-08-13,163.41,164.73,162.97,164.16,0.0
2024-08-14,162.4,163.22,157.71,160.37,0.0
2024-08-15,160.5,161.64,159.61,161.3,0.0
2024-08-16,161.47,165.06,161.13,162.96,0.0
2024-08-19,165.28,166.69,164.26,166.67,0.0
2024-08-20,166.9,168.64,166.82,167.18,0.0
2024-08-21,165.15,166.85,164.67,165.85,0.0
2024-08-22,167.26,167.59,163.31,163.8,0.0
2024-08-23,164.72,166.18,163.83,165.62,0.0
2024-08-26,166.38,167.55,164.46,166.16,0.0
2024-08-27,165.84,166.44,164.46,164.68,0.0
2024-08-28,165.04,165.6,161.53,162.85,0.0
2024-08-29,164.31,165.97,160.25,161.78,0.0
2024-08-30,162.62,163.66,161.69,163.38,0.0
2024-09-03,161.72,161.85,156.48,157.36,0.0
2024-09-04,156.66,159.0,155.96,156.45,0.0
2024-09-05,156.3,159.45,155.98,157.24,0.0
2024-09-06,157.3,157.83,150.55,150.92,0.0
2024-09-09,152.51,153.4,147.22,148.71,0.2
2024-09-10,150.45,151.27,148.34,148.66,0.0
2024-09-11,149.92,151.5,147.52,151.16,0.0
2024-09-12,153.8,154.82,152.65,154.69,0.0
2024-09-13,155.43,158.38,155.21,157.46,0.0
2024-09-16,157.31,158.25,156.6,158.06,0.0
2024-09-17,159.02,160.55,158.38,159.32,0.0
2024-09-18,159.86,160.5,158.6,159.81,0.0
2024-09-19,163.71,163.79,161.34,162.14,0.0
2024-09-20,163.5,163.73,162.06,163.59,0.0
2024-09-23,164.35,165.49,161.67,161.85,0.0
2024-09-24,163.03,163.22,160.69,162.29,0.0
2024-09-25,161.47,162.81,161.3,161.49,0.0
2024-09-26,163.64,164.08,162.28,162.73,0.0
2024-09-27,162.81,165.7,162.63,163.95,0.0
2024-09-30,163.32,166.15,163.26,165.85,0.0
2024-10-01,167.69,169.16,164.58,166.99,0.0
2024-10-02,166.42,167.52,164.73,165.86,0.0
2024-10-03,164.41,166.64,163.92,165.86,0.0
2024-10-04,168.06,168.23,165.48,167.06,0.0
